seed,agent,score,outcome,decisions,elapsed_seconds,repeat_visits,immediate_backtracks,performance
1,baseline,2040,win,139,18.765,63,6,4000.2
1,modified,2040,win,139,18.765,63,6,4000.2
2,baseline,2040,win,139,18.765,63,6,4000.2
2,modified,2040,win,139,18.765,63,6,4000.2
3,baseline,2040,win,139,18.765,63,6,4000.2
3,modified,2040,win,139,18.765,63,6,4000.2
4,baseline,2040,win,139,18.765,63,6,4000.2
4,modified,2040,win,139,18.765,63,6,4000.2
5,baseline,2040,win,139,18.765,63,6,4000.2
5,modified,2040,win,139,18.765,63,6,4000.2
6,baseline,2040,win,139,18.765,63,6,4000.2
6,modified,2040,win,139,18.765,63,6,4000.2
7,baseline,2040,win,139,18.765,63,6,4000.2
7,modified,2040,win,139,18.765,63,6,4000.2
8,baseline,2040,win,139,18.765,63,6,4000.2
8,modified,2040,win,139,18.765,63,6,4000.2
9,baseline,2040,win,139,18.765,63,6,4000.2
9,modified,2040,win,139,18.765,63,6,4000.2
10,baseline,2040,win,139,18.765,63,6,4000.2
10,modified,2040,win,139,18.765,63,6,4000.2
