agent,difficulty,seed,outcome,score,decisions,elapsed_seconds,pellets_left,ghosts_eaten,repeat_visits,immediate_backtracks,performance
table_driven,normal,1,caught,70,14,1.89,66,0,7,1,-934.8
simple_reflex,normal,1,timeout,660,1500,202.5,23,0,1450,289,-218.0
model_based,normal,1,win,890,161,21.735,0,0,85,2,2853.8
goal_based,normal,1,win,1490,129,17.415,0,3,56,10,3444.2
utility_based,normal,1,win,1490,113,15.255,0,3,37,1,3465.4
learning,normal,1,win,1490,147,19.845,0,3,74,7,3446.6
greedy,normal,1,caught,500,50,6.75,31,0,8,4,-518.0
random,normal,1,caught,230,85,11.475,54,0,66,32,-851.0
table_driven,normal,2,caught,70,14,1.89,66,0,7,1,-934.8
simple_reflex,normal,2,timeout,660,1500,202.5,23,0,1450,289,-218.0
model_based,normal,2,win,890,161,21.735,0,0,85,2,2853.8
goal_based,normal,2,win,1490,123,16.605,0,3,50,9,3447.4
utility_based,normal,2,win,1490,113,15.255,0,3,37,1,3465.4
learning,normal,2,win,1490,165,22.275,0,3,92,13,3431.0
greedy,normal,2,win,890,91,12.285,0,0,18,8,2855.8
random,normal,2,caught,230,85,11.475,54,0,66,32,-851.0
table_driven,normal,3,caught,70,14,1.89,66,0,7,1,-934.8
simple_reflex,normal,3,timeout,660,1500,202.5,23,0,1450,289,-218.0
model_based,normal,3,win,890,161,21.735,0,0,85,2,2853.8
goal_based,normal,3,win,1490,127,17.145,0,3,54,9,3446.6
utility_based,normal,3,win,1490,113,15.255,0,3,37,1,3465.4
learning,normal,3,win,1490,125,16.875,0,3,52,6,3453.0
greedy,normal,3,caught,510,51,6.885,30,0,8,4,-508.2
random,normal,3,caught,140,25,3.375,59,0,11,7,-879.0
table_driven,normal,4,caught,70,14,1.89,66,0,7,1,-934.8
simple_reflex,normal,4,timeout,660,1500,202.5,23,0,1450,289,-218.0
model_based,normal,4,win,890,161,21.735,0,0,85,2,2853.8
goal_based,normal,4,timeout,490,1500,202.5,32,0,1459,1433,-2676.0
utility_based,normal,4,win,1490,113,15.255,0,3,37,1,3465.4
learning,normal,4,win,1490,131,17.685,0,3,58,6,3451.8
greedy,normal,4,win,890,91,12.285,0,0,18,8,2855.8
random,normal,4,caught,230,85,11.475,54,0,66,32,-851.0
table_driven,normal,5,caught,70,14,1.89,66,0,7,1,-934.8
simple_reflex,normal,5,timeout,660,1500,202.5,23,0,1450,289,-218.0
model_based,normal,5,win,890,159,21.465,0,0,83,2,2854.2
goal_based,normal,5,win,1490,113,15.255,0,3,40,9,3449.4
utility_based,normal,5,win,1690,153,20.655,0,4,77,3,3653.4
learning,normal,5,timeout,840,1500,202.5,21,1,1448,718,-896.0
greedy,normal,5,win,890,91,12.285,0,0,18,8,2855.8
random,normal,5,caught,140,27,3.645,59,0,13,9,-883.4
table_driven,normal,6,caught,70,14,1.89,66,0,7,1,-934.8
simple_reflex,normal,6,timeout,660,1500,202.5,23,0,1450,289,-218.0
model_based,normal,6,win,890,161,21.735,0,0,85,2,2853.8
goal_based,normal,6,win,1490,107,14.445,0,3,34,9,3450.6
utility_based,normal,6,win,1490,179,24.165,0,3,103,5,3444.2
learning,normal,6,caught,520,48,6.48,45,1,17,4,-497.6
greedy,normal,6,win,1090,91,12.285,0,1,18,8,3055.8
random,normal,6,caught,140,27,3.645,59,0,13,9,-883.4
table_driven,normal,7,caught,70,14,1.89,66,0,7,1,-934.8
simple_reflex,normal,7,timeout,660,1500,202.5,23,0,1450,289,-218.0
model_based,normal,7,win,890,161,21.735,0,0,85,2,2853.8
goal_based,normal,7,win,1490,125,16.875,0,3,52,9,3447.0
utility_based,normal,7,win,1490,113,15.255,0,3,37,1,3465.4
learning,normal,7,win,1490,147,19.845,0,3,74,8,3444.6
greedy,normal,7,caught,500,50,6.75,31,0,8,4,-518.0
random,normal,7,caught,230,85,11.475,54,0,66,32,-851.0
table_driven,normal,8,caught,70,14,1.89,66,0,7,1,-934.8
simple_reflex,normal,8,timeout,660,1500,202.5,23,0,1450,289,-218.0
model_based,normal,8,win,890,159,21.465,0,0,83,2,2854.2
goal_based,normal,8,win,1490,113,15.255,0,3,40,9,3449.4
utility_based,normal,8,win,1690,145,19.575,0,4,69,3,3655.0
learning,normal,8,timeout,840,1500,202.5,21,1,1448,721,-902.0
greedy,normal,8,win,890,91,12.285,0,0,18,8,2855.8
random,normal,8,caught,230,85,11.475,54,0,66,32,-851.0
table_driven,normal,9,caught,70,14,1.89,66,0,7,1,-934.8
simple_reflex,normal,9,timeout,660,1500,202.5,23,0,1450,289,-218.0
model_based,normal,9,win,890,161,21.735,0,0,85,2,2853.8
goal_based,normal,9,win,1490,107,14.445,0,3,34,9,3450.6
