agent,difficulty,seed,outcome,score,decisions,elapsed_seconds,pellets_left,ghosts_eaten,repeat_visits,immediate_backtracks,performance
table_driven,hard,1,caught,70,12,1.65,66,0,5,1,-934.4
simple_reflex,hard,1,timeout,660,1500,202.5,23,0,1450,289,-218.0
model_based,hard,1,win,890,161,21.735,0,0,85,2,2853.8
goal_based,hard,1,win,1490,95,12.825,0,3,22,8,3455.0
utility_based,hard,1,caught,1180,62,8.37,27,3,16,2,163.6
learning,hard,1,caught,1350,88,11.88,14,3,29,5,322.4
greedy,hard,1,win,890,91,12.285,0,0,18,8,2855.8
random,hard,1,caught,150,34,4.59,58,0,19,13,-882.8
table_driven,hard,2,caught,70,12,1.65,66,0,5,1,-934.4
simple_reflex,hard,2,timeout,660,1500,202.5,23,0,1450,289,-218.0
model_based,hard,2,win,890,161,21.735,0,0,85,2,2853.8
goal_based,hard,2,win,1490,95,12.825,0,3,22,8,3455.0
utility_based,hard,2,caught,1180,61,8.36,27,3,15,2,163.8
learning,hard,2,caught,1270,70,9.45,22,3,19,5,246.0
greedy,hard,2,win,890,91,12.285,0,0,18,8,2855.8
random,hard,2,caught,140,25,3.375,59,0,11,7,-879.0
table_driven,hard,3,caught,70,12,1.65,66,0,5,1,-934.4
simple_reflex,hard,3,timeout,660,1500,202.5,23,0,1450,289,-218.0
model_based,hard,3,win,890,161,21.735,0,0,85,2,2853.8
goal_based,hard,3,win,1490,95,12.825,0,3,22,8,3455.0
utility_based,hard,3,win,1490,135,18.225,0,3,62,4,3455.0
learning,hard,3,caught,1350,82,11.07,14,3,23,6,321.6
greedy,hard,3,win,890,91,12.285,0,0,18,8,2855.8
random,hard,3,caught,220,84,11.34,55,0,66,32,-860.8
table_driven,hard,4,caught,70,12,1.65,66,0,5,1,-934.4
simple_reflex,hard,4,caught,1210,61,8.36,24,3,12,3,191.8
model_based,hard,4,caught,680,57,7.81,33,1,17,0,-331.4
goal_based,hard,4,win,1490,95,12.825,0,3,22,8,3455.0
utility_based,hard,4,caught,800,57,7.81,25,1,9,1,-213.4
learning,hard,4,caught,800,57,7.81,25,1,9,1,-213.4
greedy,hard,4,win,890,91,12.285,0,0,18,8,2855.8
random,hard,4,caught,220,84,11.34,55,0,66,32,-860.8
table_driven,hard,5,caught,140,28,3.85,59,0,14,2,-869.6
simple_reflex,hard,5,caught,660,80,10.89,23,0,30,5,-366.0
model_based,hard,5,caught,590,70,9.57,26,0,23,1,-426.0
goal_based,hard,5,win,1490,95,12.825,0,3,22,8,3455.0
utility_based,hard,5,caught,1160,57,7.81,29,3,13,1,146.6
learning,hard,5,caught,1350,88,11.88,14,3,29,5,322.4
greedy,hard,5,win,890,91,12.285,0,0,18,8,2855.8
random,hard,5,caught,130,24,3.3,60,0,11,7,-888.8
table_driven,hard,6,caught,70,12,1.65,66,0,5,1,-934.4
simple_reflex,hard,6,timeout,660,1500,202.5,23,0,1450,289,-218.0
model_based,hard,6,win,890,161,21.735,0,0,85,2,2853.8
goal_based,hard,6,win,1490,95,12.825,0,3,22,8,3455.0
utility_based,hard,6,caught,1180,62,8.37,27,3,16,2,163.6
learning,hard,6,caught,1270,70,9.46,22,3,19,2,252.0
greedy,hard,6,win,890,91,12.285,0,0,18,8,2855.8
random,hard,6,caught,100,13,1.87,63,0,3,3,-908.6
table_driven,hard,7,caught,70,12,1.65,66,0,5,1,-934.4
simple_reflex,hard,7,timeout,660,1500,202.5,23,0,1450,289,-218.0
model_based,hard,7,win,890,161,21.735,0,0,85,2,2853.8
goal_based,hard,7,win,1490,95,12.825,0,3,22,8,3455.0
utility_based,hard,7,caught,1180,61,8.36,27,3,15,2,163.8
learning,hard,7,caught,1350,88,11.88,14,3,29,5,322.4
greedy,hard,7,win,890,91,12.285,0,0,18,8,2855.8
random,hard,7,caught,220,84,11.34,55,0,66,32,-860.8
table_driven,hard,8,caught,70,12,1.65,66,0,5,1,-934.4
simple_reflex,hard,8,timeout,660,1500,202.5,23,0,1450,289,-218.0
model_based,hard,8,win,890,161,21.735,0,0,85,2,2853.8
goal_based,hard,8,win,1490,95,12.825,0,3,22,8,3455.0
utility_based,hard,8,caught,1180,62,8.37,27,3,16,2,163.6
learning,hard,8,caught,1340,80,10.8,15,3,22,6,312.0
greedy,hard,8,win,890,91,12.285,0,0,18,8,2855.8
random,hard,8,caught,140,25,3.375,59,0,11,7,-879.0
table_driven,hard,9,caught,70,13,1.755,66,0,6,1,-934.6
simple_reflex,hard,9,timeout,660,1500,202.5,23,0,1450,289,-218.0
model_based,hard,9,win,890,161,21.735,0,0,85,2,2853.8
goal_based,hard,9,win,1490,95,12.825,0,3,22,8,3455.0
utility_based,hard,9,caught,1180,61,8.25,27,3,15,3,161.8
learning,hard,9,caught,1270,66,8.91,22,3,15,3,250.8
greedy,hard,9,win,890,91,12.285,0,0,18,8,2855.8
random,hard,9,caught,130,23,3.105,60,0,10,7,-888.6
table_driven,hard,10,caught,70,12,1.65,66,0,5,1,-934.4
simple_reflex,hard,10,timeout,660,1500,202.5,23,0,1450,289,-218.0
model_based,hard,10,win,890,161,21.735,0,0,85,2,2853.8
goal_based,hard,10,caught,490,61,8.36,32,0,20,5,-532.2
utility_based,hard,10,win,1490,111,14.985,0,3,35,1,3465.8
learning,hard,10,caught,650,30,4.07,52,2,9,3,-362.0
greedy,hard,10,caught,510,51,6.885,30,0,8,4,-508.2
random,hard,10,caught,220,84,11.34,55,0,66,32,-860.8
table_driven,hard,11,caught,70,12,1.65,66,0,5,1,-934.4
simple_reflex,hard,11,timeout,660,1500,202.5,23,0,1450,289,-218.0
model_based,hard,11,win,890,161,21.735,0,0,85,2,2853.8
goal_based,hard,11,win,1490,95,12.825,0,3,22,8,3455.0
utility_based,hard,11,caught,1180,61,8.36,27,3,15,2,163.8
learning,hard,11,caught,1350,88,11.88,14,3,29,5,322.4
greedy,hard,11,win,890,91,12.285,0,0,18,8,2855.8
random,hard,11,caught,220,84,11.34,55,0,66,32,-860.8
table_driven,hard,12,caught,70,12,1.65,66,0,5,1,-934.4
simple_reflex,hard,12,timeout,660,1500,202.5,23,0,1450,289,-218.0
model_based,hard,12,win,890,161,21.735,0,0,85,2,2853.8
goal_based,hard,12,win,1490,95,12.825,0,3,22,8,3455.0
utility_based,hard,12,caught,1180,61,8.36,27,3,15,2,163.8
learning,hard,12,caught,1270,68,9.24,22,3,17,3,250.4
greedy,hard,12,win,890,91,12.285,0,0,18,8,2855.8
random,hard,12,caught,220,84,11.34,55,0,66,32,-860.8
table_driven,hard,13,caught,140,28,3.85,59,0,14,2,-869.6
simple_reflex,hard,13,caught,1210,70,9.57,24,3,21,6,184.0
model_based,hard,13,caught,670,44,6.05,34,1,5,1,-340.8
goal_based,hard,13,win,1490,95,12.825,0,3,22,8,3455.0
utility_based,hard,13,caught,1000,57,7.81,25,2,9,1,-13.4
learning,hard,13,caught,1000,57,7.81,25,2,9,1,-13.4
greedy,hard,13,win,890,91,12.285,0,0,18,8,2855.8
random,hard,13,caught,220,84,11.34,55,0,66,32,-860.8
table_driven,hard,14,caught,70,12,1.65,66,0,5,1,-934.4
simple_reflex,hard,14,timeout,660,1500,202.5,23,0,1450,289,-218.0
model_based,hard,14,win,890,161,21.735,0,0,85,2,2853.8
goal_based,hard,14,caught,500,61,8.36,31,0,19,5,-522.2
utility_based,hard,14,caught,1210,74,10.12,24,3,25,1,193.2
learning,hard,14,caught,1340,82,11.07,15,3,24,5,313.6
greedy,hard,14,caught,520,52,7.02,29,0,8,4,-498.4
random,hard,14,caught,110,14,1.89,62,0,3,3,-898.8
table_driven,hard,15,caught,70,13,1.755,66,0,6,1,-934.6
simple_reflex,hard,15,caught,660,80,10.89,23,0,30,5,-366.0
model_based,hard,15,caught,610,126,17.05,24,0,74,2,-419.2
goal_based,hard,15,win,1490,101,13.635,0,3,28,10,3449.8
utility_based,hard,15,caught,1420,101,13.75,7,3,32,2,395.8
learning,hard,15,caught,450,30,4.07,52,1,9,3,-562.0
greedy,hard,15,caught,510,51,6.885,30,0,8,4,-508.2
random,hard,15,caught,100,13,1.87,63,0,3,3,-908.6
table_driven,hard,16,caught,70,12,1.65,66,0,5,1,-934.4
simple_reflex,hard,16,timeout,660,1500,202.5,23,0,1450,289,-218.0
model_based,hard,16,win,890,161,21.735,0,0,85,2,2853.8
goal_based,hard,16,win,1490,95,12.825,0,3,22,8,3455.0
utility_based,hard,16,caught,1260,71,9.68,19,3,17,1,243.8
learning,hard,16,caught,1310,83,11.33,18,3,28,4,285.4
greedy,hard,16,win,890,91,12.285,0,0,18,8,2855.8
random,hard,16,caught,130,23,3.19,60,0,10,7,-888.6
table_driven,hard,17,caught,70,12,1.65,66,0,5,1,-934.4
